"","addr_state","annual_inc","int_rate","issue_d","loan_amnt"
"1","AZ",24000,10.65,2011,5000
"2","GA",30000,15.27,2011,2500
"3","IL",12252,15.96,2011,2400
"4","CA",49200,13.49,2011,10000
"5","OR",80000,12.69,2011,3000
"6","AZ",36000,7.9,2011,5000
"7","NC",47004,15.96,2011,7000
"8","CA",48000,18.64,2011,3000
"9","CA",40000,21.28,2011,5600
"10","TX",15000,12.69,2011,5375
"11","AZ",72000,14.65,2011,6500
"12","CA",75000,12.69,2011,12000
"13","VA",30000,13.49,2011,9000
"14","IL",15000,9.91,2011,3000
"15","CA",1e+05,10.65,2011,10000
"16","MO",28000,16.29,2011,1000
"17","CA",42000,15.27,2011,10000
"18","CT",110000,6.03,2011,3600
"19","UT",84000,11.71,2011,6000
"20","CA",77385.19,6.03,2011,9200
"21","TX",43370,15.27,2011,20250
"22","FL",105000,12.42,2011,21000
"23","TX",50000,11.71,2011,10000
"24","CA",50000,11.71,2011,10000
"25","CA",76000,11.71,2011,6000
"26","IL",92000,9.91,2011,15000
"27","NY",60000,14.27,2011,15000
"28","PA",50004,16.77,2011,5000
"29","FL",106000,11.71,2011,4000
"30","MN",25000,11.71,2011,8500
"31","NY",17108,7.51,2011,4375
"32","NJ",75000,7.9,2011,31825
"33","FL",29120,15.96,2011,10000
"34","OR",24044,8.9,2011,5000
"35","CA",34000,15.96,2011,7000
"36","KY",41000,10.65,2011,12400
"37","CA",55596,9.91,2011,10800
"38","OH",45000,7.9,2011,15000
"39","AZ",36852,12.42,2011,6000
"40","IL",27000,12.69,2011,12500
"41","SC",68004,7.51,2011,9600
"42","NJ",62300,7.9,2011,12000
"43","PA",65000,18.25,2011,3000
"44","RI",55000,16.77,2011,4400
"45","LA",45600,6.03,2011,6000
"46","MA",80000,9.91,2011,14000
"47","OH",1e+05,8.9,2011,5000
"48","NY",27000,10.65,2011,10000
"49","CT",60000,6.03,2011,10000
"50","CT",70000,6.62,2011,11000
"51","IL",80000,9.91,2011,15000
"52","CA",110000,9.91,2011,25600
"53","CA",40000,10.65,2011,7000
"54","CA",50000,15.96,2011,12000
"55","TX",46000,9.91,2011,12000
"56","WA",50000,19.91,2011,21000
"57","MA",81000,19.91,2011,16000
"58","OR",39000,12.42,2011,10000
"59","TX",51400,10.65,2011,10000
"60","TX",33000,16.77,2011,7100
"61","NJ",30000,12.69,2011,13000
"62","CA",40000,17.27,2011,17500
"63","WI",50000,14.65,2011,17675
"64","VA",62000,16.77,2011,8000
"65","OH",45996,10.65,2011,10000
"66","OH",55000,10.65,2011,3500
"67","MN",30000,17.27,2011,12500
"68","CA",44544,14.27,2011,16425
"69","CA",75000,21.28,2011,8200
"70","FL",61000,14.65,2011,15000
"71","GA",44000,17.58,2011,20975
"72","CA",75000,16.77,2011,6400
"73","AL",33600,13.49,2011,3000
"74","MA",50000,16.77,2011,12000
"75","NY",150000,8.9,2011,14400
"76","NJ",90000,14.65,2011,12000
"77","TX",48000,13.49,2011,11000
"78","CA",75000,21.67,2011,7250
"79","TX",52000,7.9,2011,15000
"80","FL",65000,19.91,2011,18000
"81","NY",150000,17.27,2011,35000
"82","PA",68000,14.27,2011,10000
"83","NY",42000,12.69,2011,11800
"84","CA",53000,6.03,2011,4500
"85","CA",35000,12.69,2011,7000
"86","CA",60000,12.42,2011,9200
"87","WA",28000,17.27,2011,14000
"88","TX",42000,10.65,2011,4500
"89","AZ",88365,16.29,2011,12000
"90","CA",72000,13.49,2011,12000
"91","TX",62000,10.65,2011,12000
"92","MN",43680,10.65,2011,7000
"93","NY",120000,19.42,2011,8200
"94","CA",66000,12.69,2011,10500
"95","FL",39120,11.71,2011,7000
"96","VA",85000,22.06,2011,15300
"97","VA",47800,11.71,2011,20000
"98","WA",45000,17.27,2011,17500
"99","IL",83000,6.03,2011,3500
"100","CO",81000,12.69,2011,6000
"101","CA",25000,9.91,2011,6200
"102","KS",65000,17.58,2011,16000
"103","NJ",28800,8.9,2011,6000
